DISTRICT,DATE,NUMBEROFCUMULATIVECASES,DAILYCASES,SMA_3,SMA_5,SMA_7
Sepang,2020-09-08,168,168.0,,,
Sepang,2020-09-09,168,0.0,,,
Sepang,2020-09-10,193,25.0,64.33333333333333,,
Sepang,2020-09-11,652,459.0,161.33333333333334,,
Sepang,2020-09-13,168,484.0,322.6666666666667,,
Sepang,2020-09-14,168,0.0,314.3333333333333,,
Sepang,2020-09-15,168,0.0,161.33333333333334,204.8,
Sepang,2020-09-16,168,0.0,0.0,191.93333333333334,
Sepang,2020-09-17,169,1.0,0.3333333333333333,159.73333333333332,
Sepang,2020-09-18,169,0.0,0.3333333333333333,95.26666666666667,
Sepang,2020-09-19,169,0.0,0.3333333333333333,32.46666666666666,
Sepang,2020-09-20,169,0.0,0.0,0.19999999999999432,
Sepang,2020-09-21,169,0.0,0.0,0.19999999999999432,97.80000000000003
Sepang,2020-09-22,169,0.0,0.0,0.13333333333332767,68.56190476190478
Sepang,2020-09-23,169,0.0,0.0,0.066666666666661,41.152380952380966
Sepang,2020-09-24,169,0.0,0.0,0.0,18.33333333333335
Sepang,2020-09-25,169,0.0,0.0,0.0,4.723809523809542
Sepang,2020-09-26,169,0.0,0.0,0.0,0.08571428571430419
Sepang,2020-09-27,169,0.0,0.0,0.0,0.05714285714287643
Sepang,2020-09-28,169,0.0,0.0,0.0,0.028571428571448673
Sepang,2020-09-29,169,0.0,0.0,0.0,0.009523809523830433
Sepang,2020-09-30,170,1.0,0.3333333333333333,0.066666666666661,0.009523809523830432
Sepang,2020-10-04,61,109.0,36.666666666666664,7.399999999999994,1.0666666666666866
Sepang,2020-10-05,71,10.0,40.0,15.399999999999995,3.266666666666686
Sepang,2020-10-06,144,73.0,64.0,28.199999999999996,7.295238095238114
Sepang,2020-10-07,154,10.0,31.0,34.39999999999999,12.209523809523827
Sepang,2020-10-08,168,14.0,32.333333333333336,40.8,18.038095238095256
Sepang,2020-10-09,168,0.0,8.0,35.06666666666666,23.04761904761906
Sepang,2020-10-10,196,28.0,14.0,29.866666666666664,27.30476190476192
Sepang,2020-10-11,678,482.0,170.0,51.06666666666666,33.54285714285716
Sepang,2020-10-13,197,481.0,330.3333333333333,110.93333333333332,47.190476190476204
Sepang,2020-10-14,197,0.0,321.0,168.66666666666666,67.25714285714288
Sepang,2020-10-15,203,6.0,162.33333333333334,199.53333333333333,90.84761904761908
Sepang,2020-10-16,204,1.0,2.3333333333333335,197.2,113.19047619047622
Sepang,2020-10-17,213,9.0,5.333333333333333,164.26666666666668,131.6476190476191
Sepang,2020-10-18,222,9.0,6.333333333333333,99.46666666666668,141.5904761904762
Sepang,2020-10-19,226,4.0,7.333333333333333,36.73333333333335,139.54285714285717
Sepang,2020-10-20,235,9.0,7.333333333333333,5.7333333333333485,124.51428571428575
Sepang,2020-10-21,251,16.0,9.666666666666666,7.200000000000014,101.4476190476191
Sepang,2020-10-22,273,22.0,15.666666666666666,9.26666666666668,74.26666666666672
Sepang,2020-10-23,277,4.0,14.0,10.800000000000013,47.638095238095296
Sepang,2020-10-24,279,2.0,9.333333333333334,11.200000000000014,25.77142857142863
Sepang,2020-10-25,284,5.0,3.6666666666666665,10.46666666666668,13.057142857142912
Sepang,2020-10-26,358,74.0,27.0,13.933333333333346,9.800000000000056
Sepang,2020-10-27,367,9.0,29.333333333333332,16.66666666666668,11.36190476190482
Sepang,2020-10-28,380,13.0,32.0,20.266666666666676,13.228571428571485
Sepang,2020-10-29,439,59.0,27.0,23.800000000000008,15.30476190476196
Sepang,2020-10-30,483,44.0,38.666666666666664,30.80000000000001,18.161904761904818
Sepang,2020-10-31,489,6.0,36.333333333333336,32.66666666666668,21.228571428571485
Sepang,2020-11-04,64,425.0,158.33333333333334,58.46666666666668,28.085714285714342
Sepang,2020-11-05,71,7.0,146.0,81.26666666666668,37.70476190476196
Sepang,2020-11-06,144,73.0,168.33333333333334,109.53333333333335,50.97142857142863
Sepang,2020-11-07,156,12.0,30.666666666666668,107.93333333333335,63.49523809523816
Sepang,2020-11-08,168,12.0,32.333333333333336,107.13333333333335,75.40000000000008
Sepang,2020-11-09,168,0.0,8.0,77.06666666666668,82.0095238095239
Sepang,2020-11-10,196,28.0,13.333333333333334,50.53333333333334,84.56190476190486
Sepang,2020-11-11,697,501.0,176.33333333333334,52.133333333333326,83.65714285714294
Sepang,2020-11-13,795,98.0,209.0,87.79999999999998,84.59047619047627
Sepang,2020-11-14,809,14.0,204.33333333333334,122.19999999999997,86.40000000000008
Sepang,2020-11-15,813,4.0,38.666666666666664,128.33333333333331,89.31428571428579
Sepang,2020-11-16,826,13.0,10.333333333333334,127.7333333333333,92.25714285714294
Sepang,2020-11-17,829,3.0,6.666666666666667,93.79999999999995,94.6476190476191
Sepang,2020-11-18,840,11.0,9.0,53.799999999999955,95.11428571428577
Sepang,2020-11-19,851,11.0,8.333333333333334,14.599999999999948,89.752380952381
Sepang,2020-11-20,859,8.0,10.0,8.866666666666616,78.47619047619051
Sepang,2020-11-21,860,1.0,6.666666666666667,8.133333333333281,62.18095238095242
Sepang,2020-11-22,864,4.0,4.333333333333333,7.666666666666616,44.94285714285718
Sepang,2020-11-23,877,13.0,6.0,7.066666666666616,27.704761904761938
Sepang,2020-11-24,881,4.0,7.0,6.799999999999949,15.276190476190509
Sepang,2020-11-25,884,3.0,6.666666666666667,6.133333333333281,8.466666666666699
Sepang,2020-11-26,908,24.0,10.333333333333334,6.866666666666616,7.361904761904794
Sepang,2020-11-27,920,12.0,13.0,8.599999999999948,7.323809523809556
Sepang,2020-11-28,925,5.0,13.666666666666666,10.133333333333281,7.609523809523842
Sepang,2020-11-29,939,14.0,10.333333333333334,10.79999999999995,8.05714285714289
Sepang,2020-11-30,951,12.0,10.333333333333334,11.533333333333282,8.695238095238128
